row,id,gilbert_number,input_form,target_form,transcription,items
0,0,1,a hairbrush ,die haarbuerste,diː haːɐ̯ˈbʏʁstə,2
1,1,2,He's running now. ,er laeuft jetzt,eːɐ̯ lɔɪ̯ft jɛʦt,3
2,2,3,two goats ,zwei ziegen,ʦvaɪ̯ ˈʦiːɡən,2
3,3,4,one apple ,ein apfel,aɪ̯n ˈapfl̩,2
4,4,5,icicles ,eiszapfen,ˈaɪ̯sˌʦapfən,1
5,5,6,the cooking pot ,der kochtopf,deːɐ̯ ˈkɔχˌtɔpf,2
6,6,7,my head ,mein kopf,maɪ̯n kɔpf,2
7,7,8,the door ,die tuer,diː tyːɐ̯,2
8,8,9,The table is broken. ,der tisch ist kaputt,deːɐ̯ tɪʃ ɪst kaˈpʊt,4
9,9,10,The animal died out in the pasture.,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
10,10,11,The animal died out in the pasture. ,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
11,11,12,It is too dry this year. ,es ist zu trocken dieses jahr,ɛs ɪst ʦuː ˈtʀɔkn̩ ˈdiːzəs jaːɐ̯,6
12,12,13,water faucet ,wasserhahn,ˈvasɐˌhaːn,1
13,13,14,Thursday ,donnerstag,ˈdɔnɐstaːk,1
14,14,15,He took the most sausage. ,er hat am meisten wurst genommen,eːɐ̯ hat am ˈmaɪ̯stn̩ vʊʁst ɡəˈnɔmən,6
15,15,16,a hairbrush ,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,2
16,16,17,the door ,die tuer,diː tyːɐ̯,2
17,17,18,two daughters ,zwei toechter,ʦvaɪ̯ ˈtœçtɐ,2
18,18,19,sweet potatoes (lpomoea batatas) ,suesskartoffeln,zyːskaʁˈtɔfl̩n,1
19,19,20,two cooking pots ,zwei kochtoepfe,ʦvaɪ̯ ˈkɔχˌtœpfə,2
20,20,21,a hairbrush ,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,2
21,21,22,This chicken has long feathers. ,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
22,22,23,It's lying down there on the floor. ,es liegt da unten auf dem boden,ɛs liːkt daː ˈʊntn̩ aʊ̯f deːm ˈboːdn̩,7
23,23,24,the red ants that sting ,die roten ameisen die beissen,diː ʀoːtn̩ ˈaːmaɪ̯zn̩ diː ˈbaɪ̯sn̩,5
24,24,25,my head ,mein kopf,maɪ̯n kɔpf,2
25,25,26,milk ,milch,mɪlç,1
26,26,27,The animal died out in the pasture.,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
27,27,28,We went with her. ,wir sind mit ihr gegangen,viːɐ̯ zɪnt mɪt iːɐ̯ ɡəˈɡaŋən,5
28,28,29,Who did we see? ,wen haben wir gesehen,veːn ˈhaːbən viːɐ̯ ɡəˈzeːən,4
29,29,30,He came with me. ,er ist mit mir gekommen,eːɐ̯ ɪst mɪt miːɐ̯ ɡəˈkɔmən,5
30,30,31,He's helping me now. ,er hilft mir jetzt,eːɐ̯ hɪlft miːɐ̯ jɛʦt,4
31,31,32,The little children see her. ,die kleinen kinder sehen sie,diː ˈklaɪ̯nən ˈkɪndɐ ˈzeːən ziː,5
32,32,33,Give her two (pieces)! ,gib ihr zwei stuecke,ɡiːp iːɐ̯ ʦvaɪ̯ ˈʃtʏkə,4
33,33,34,We went with her. ,wir sind mit ihr gegangen,viːɐ̯ zɪnt mɪt iːɐ̯ ɡəˈɡaŋən,5
34,34,35,The picture belongs to them. ,das bild gehoert ihnen,das bɪlt ɡəˈhøːɐ̯t ˈiːnən,4
35,35,36,Who did we see? ,wen haben wir gesehen,veːn ˈhaːbən viːɐ̯ ɡəˈzeːən,4
36,36,37,There's the man who I want to see. ,das ist der mann den ich sehen wollte,das ɪst deːɐ̯ manː deːn ɪç ˈzeːən ˈvɔltə,8
37,37,38,There are the children who I gave the candy to. ,da sind die kinder denen ich die suessigkeiten gegeben habe,daː zɪnt diː ˈkɪndɐ ˈdeːnən ɪç diː ˈzyːsɪçˌkaɪ̯tn̩ ɡəˈɡeːbn̩ ˈhaːbə,10
38,38,39,This is my chair. ,das ist mein stuhl,das ɪst maɪ̯n ʃtuːl,4
39,39,40,It is too dry this year. ,es ist zu trocken dieses jahr,ɛs ɪst ʦuː ˈtʀɔkn̩ ˈdiːzəs jaːɐ̯,6
40,40,41,This chicken has long feathers.,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
41,41,42,The dog bit that bad man. ,der hund hat diesen boesen mann gebissen,deːɐ̯ hʉnt hat ˈdiːzən ˈbøːzn̩ manː ɡəˈbɪsn̩,7
42,42,43,The dog bit the bad man. ,der hund hat diesen boesen mann gebissen,deːɐ̯ hʉnt hat ˈdiːzən ˈbøːzn̩ manː ɡəˈbɪsn̩,7
43,43,44,The little children see her. ,die kleinen kinder sehen sie,diː ˈklaɪ̯nən ˈkɪndɐ ˈzeːən ziː,5
44,44,45,the red ants that sting ,die roten ameisen die beissen,diː ʀoːtn̩ ˈaːmaɪ̯zn̩ diː ˈbaɪ̯sn̩,5
45,45,46,There is something in your left eye. ,da ist was in deinem linken auge,daː ɪst vas ɪn ˈdaɪ̯nəm ˈlɪŋkn̩ ɔʒ,7
46,46,47,Boil that egg in hot water! ,koch das ei in heissem wasser,kɔχ das aɪ̯ ɪn haɪ̯səm ˈvasɐ,6
47,47,48,a bad dream ,ein schlechter traum,aɪ̯n ˈʃlɛçtɐ tʀaʊ̯m,3
48,48,49,This chicken has long feathers.,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
49,49,50,Hang the picture over the bed! ,haeng das bild ueber das bett,hɛŋ das bɪlt ˈyːbɐ das ˈbɛt,6
50,50,51,The picture hangs over the bed. ,das bild haengt ueber dem bett,das bɪlt hɛŋt ˈyːbɐ deːm ˈbɛt,6
51,51,52,He's putting the chair under the tree. ,er stellt den stuhl unter den baum,eːɐ̯ ʃtɛlt deːn ʃtuːl ˈʊntɐ deːn baʊ̯m,7
52,52,53,He's sitting under the tree. ,er sitzt unter dem baum,eːɐ̯ zɪʦt ˈʊntɐ deːm baʊ̯m,5
53,53,54,He's putting the chair beside the tree. ,er stellt den stuhl neben den baum,eːɐ̯ ʃtɛlt deːn ʃtuːl ˈneːbm̩ deːn baʊ̯m,7
54,54,55,He's sitting over there beside the tree. ,er sitzt da drueben neben dem baum,eːɐ̯ zɪʦt daː dʀyːbn̩ ˈneːbm̩ deːm baʊ̯m,7
55,55,56,Put it on the floor! ,stell es auf den boden,ʃtɛl ɛs aʊ̯f deːn ˈboːdn̩,5
56,56,57,It's lying down there on the floor. ,es liegt da unten auf dem boden,ɛs liːkt daː ˈʊntn̩ aʊ̯f deːm ˈboːdn̩,7
57,57,58,He goes into the room. ,er geht in das zimmer,eːɐ̯ ɡeːt ɪn das ˈʦɪmɐ,5
58,58,59,He is already in the room. ,er ist schon in im zimmer,eːɐ̯ ɪst ʃoːn ɪn ɪm ˈʦɪmɐ,6
59,59,60,The animal died out in the pasture.,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
60,60,61,two windows ,zwei fenster,ʦvaɪ̯ ˈfɛnstɐ,2
61,61,62,two rooms ,zwei raeume,ʦvaɪ̯ ˈʀɔɪ̯mə,2
62,62,63,two plates ,zwei teller,ʦvaɪ̯ ˈtɛlə,2
63,63,64,two wagons ,zwei wagen,ʦvaɪ̯ ˈvaːɡn̩,2
64,64,65,two boys ,zwei jungen,ʦvaɪ̯ ˈjʊŋən,2
65,65,66,two goats ,zwei ziegen,ʦvaɪ̯ ˈʦiːɡən,2
66,66,67,This chicken has long feathers. ,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
67,67,68,two cows ,zwei kuehe,ʦvaɪ̯ ˈkyːə,2
68,68,69,two gardens ,zwei gaerten,ʦvaɪ̯ ˈɡɛːʁtn̩,2
69,69,70,two daughters ,zwei toechter,ʦvaɪ̯ ˈtœçtɐ,2
70,70,71,Two heads are better than one. ,zwei koepfe sind besser als einer,ʦvaɪ̯ ˈkœpfə zɪnt ˈbɛsɐ als ˈaɪ̯nɐ,6
71,71,72,Two heads are better than one.,zwei koepfe sind besser als einer,ʦvaɪ̯ ˈkœpfə zɪnt ˈbɛsɐ als ˈaɪ̯nɐ,6
72,72,73,Two heads are better than one.,zwei koepfe sind besser als einer,ʦvaɪ̯ ˈkœpfə zɪnt ˈbɛsɐ als ˈaɪ̯nɐ,6
73,73,74,the honey ,der honig,deːɐ̯ ˈhoːnɪç,2
74,74,75,the door ,die tuer,diː tyːɐ̯,2
75,75,76,His coughing is getting worse and worse. ,sein husten wird immer schlimmer,zaɪ̯n ˈhuːstən vɪʁt ˈɪmɐ …,5
76,76,77,He's helping me now. ,er hilft mir jetzt,eːɐ̯ hɪlft miːɐ̯ jɛʦt,4
77,77,78,He's sleeping now. ,er schlaeft jetzt,eːɐ̯ ʃlɛːft jɛʦt,3
78,78,79,He eats too much. ,er isst zu viel,eːɐ̯ ɪst ʦuː fiːl,4
79,79,80,He's washing his hands. ,er waescht seine haende,eːɐ̯ vɛʃt ˈzaɪ̯nə ˈhɛndə,4
80,80,81,Look how that tree is falling down! ,schau wie der baum faellt,ʃaʊ̯ viː deːɐ̯ baʊ̯m fɛlt,5
81,81,82,He's running now. ,er laueft jetzt,eːɐ̯ XXXX jɛʦt,3
82,82,83,You're ruining the food! ,du verdirbst das essen,duː … das ˈɛsn̩,4
83,83,84,What was his name anyway? ,wie hiess er nochmal,viː hiːs eːɐ̯ ˈnɔχmaːl,4
84,84,85,This month it snowed three times. ,in diesem monat hat es drei mal geschneit,ɪn ˈdiːzəm ˈmoːnat hat ɛs dʀaɪ̯ maːl ɡəˈʃnaɪ̯t,8
85,85,86,I've known that man for many years. ,ich habe diesen mann seit jahren gekannt,ɪç ˈhaːbə ˈdiːzən manː zaɪ̯t ˈjaːʀən ɡəˈkant,7
86,86,87,What did they name the child? ,was fuer einen namen haben sie dem kind gegeben,vas fyːɐ̯ ˈaɪ̯nən ˈnaːmən ˈhaːbən ziː deːm kɪnt ɡəˈɡeːbn̩,9
87,87,88,Give her two (pieces)! ,gib ihr zwei stueck,ɡiːp iːɐ̯ ʦvaɪ̯ ʃtʏk,4
88,88,89,Take fifty-five dollars! ,nimm fuenfundfuenzig taler,nɪm fʏnfənˈfʏnfʦɪç …,3
89,89,90,They're taking it away. ,sie nehmen es weg,ziː ˈneːmən ɛs vɛk,4
90,90,91,She caught a cold. ,sie hat eine erkaeltung bekommen,ziː hat ˈaɪ̯nə ɛɐ̯ˈkɛltʊŋ bəˈkɔmən,5
91,91,92,He told us that. ,er hat uns das erzaehlt,eːɐ̯ hat ʊns das ɛɐ̯ˈʦɛːlt,5
92,92,93,Look how that tree is falling down! ,schau wie der baum faellt,ʃaʊ̯ viː deːɐ̯ baʊ̯m fɛlt,5
93,93,94,They're taking it away. ,sie nehmen es weg,ziː ˈneːmən ɛs vɛk,4
94,94,95,You were both here yesterday. ,ihr wart beide gestern hier,iːɐ̯ vaːɐ̯t ˈbaɪ̯də ˈɡɛstɐn hiːɐ̯,5
95,95,96,There are the children who I gave the candy to. ,da sind die kinder denen ich die suessigkeiten gegeben habe,daː zɪnt diː ˈkɪndɐ ˈdeːnən ɪç diː ˈzyːsɪçˌkaɪ̯tn̩ ɡəˈɡeːbn̩ ˈhaːbə,10
96,96,97,He arrived yesterday. ,er ist gestern angekommen,eːɐ̯ ɪst ˈɡɛstɐn ˈanɡəˌkɔmən,4
97,97,98,We went home. ,wir sind nach hause gegangen,viːɐ̯ zɪnt naːχ ˈhaʊ̯zə ɡəˈɡaŋən,5
98,98,99,You were both here yesterday. ,ihr wart beide gestern hier,iːɐ̯ vaːɐ̯t ˈbaɪ̯də ˈɡɛstɐn hiːɐ̯,5
99,99,100,two daughters ,zwei toechter,ʦvaɪ̯ ˈtœçtɐ,2
100,100,101,He pinches me. ,er zwickt mich,eːɐ̯ ʦvɪkt mɪç,3
101,101,102,cabbage (B.oleracea capitata) ,kohl,koːl,1
102,102,103,a horse ,ein pferd,aɪ̯n pfeːɐ̯t,2
103,103,104,Give her a lot of homemade curd cheese and some cream. ,gibt ihr eine menge quark und ein bisschen sahne,ɡiːpt iːɐ̯ ˈaɪ̯nə ˈmɛŋə kvaʁk ʊnt aɪ̯n ˈbɪsçən ˈzaːnə,9
104,104,105,He is already in the room. ,er ist schon in dem zimmer,eːɐ̯ ɪst ʃoːn ɪn deːm ˈʦɪmɐ,6
105,105,106,This chicken has long feathers.,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
106,106,107,Saturday ,samstag,ˈzamstaːk,1
107,107,108,a (garden) rake ,ein rechen,aɪ̯n ˈʀɛçən,2
108,108,109,a stomach ache ,bauchschmerzen,ˈbaʊ̯χˌʃmɛʁʦn̩,1
109,109,100,a girl ,ein maedchen,aɪ̯n ˈmɛːtçən,2
110,110,111,a lightning bug (Lampyridae) ,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,2
111,111,112,It's ten minutes of six. ,es ist zehn vor sechs,ɛs ɪst ʦeːn foːɐ̯ zɛks,5
112,112,113,He took the most sausage. ,er hat am meisten wurst genommen,eːɐ̯ hat am ˈmaɪ̯stn̩ vʊʁst ɡəˈnɔmən,6
113,113,114,a funeral ,ein begraebnis,aɪ̯n bəˈɡʀɛːpnɪs,2
114,114,115,He's putting the chair beside the tree. ,er stellt den stuhl neben den baum,eːɐ̯ ʃtɛlt deːn ʃtuːl ˈneːbm̩ deːn baʊ̯m,7
115,115,116,the (kitchen) sink ,die spuele,diː ˈʃpyːlə,2
116,116,117,the drawer (of a table or dresser) ,die schublade,diː ˈʃuːpˌlaːdə,2
117,117,118,The table is broken. ,der tisch ist kaputt,deːɐ̯ tɪʃ ɪst kaˈpʊt,4
118,118,119,"a shoemaker's awl (small, pointed tool for piercing holes in leather) ",eine ahle,ˈaɪ̯nə ˈaːlə,2
119,119,120,Give her a lot of homemade curd cheese and some cream.,gib ihr eine menge quark und ein bisschen sahne,ɡiːp iːɐ̯ ˈaɪ̯nə ˈmɛŋə kvaʁk ʊnt aɪ̯n ˈbɪsçən ˈzaːnə,9
120,120,121,You can make pecan trees better when you graft them. ,man kann pekannussbaeume besser machen indem man sie pfropft,man kan pəˈkanˈnʊsˌbɔɪ̯mə ˈbɛsɐ ˈmaχn̩ ɪnˈdeːm man ziː pfʀɔpft,9
121,121,122,It's lying down there on the floor. ,es liegt da unten auf dem boden,ɛs liːkt daː ˈʊntn̩ aʊ̯f deːm ˈboːdn̩,7
122,122,123,the fireplace ,der kamin,deːɐ̯ kaˈmiːn,2
123,123,124,He worked too hard; he's all worn out. ,er hat zu viel gearbeitet er ist ganz erschoepft,eːɐ̯ hat ʦuː fiːl ɡəˈʔaʁbaɪ̯tət eːɐ̯ ɪst ɡanʦ ɛɐ̯ˈʃœpft,9
124,124,125,a pumpkin (the fruit of Cucurbita pepo) ,ein kuerbis,aɪ̯n ˈkʏʁbɪs,2
125,125,126,a mule [offspring of a horse & a donkey] ,ein maultier,aɪ̯n ˈmaʊ̯lˌtiːɐ̯,2
126,126,127,a donkey (Equus asinus) ,ein esel,aɪ̯n ˈeːzl̩,2
127,127,128,Get that skunk (Mephitis mephitis) off my front porch! ,schaff mir das stinktier aus meinem vorgarten,ʃaf miːɐ̯ das ˈʃtɪŋkˌtiːɐ̯ aʊ̯s ˈmaɪ̯nəm ˈfoːɐ̯ˌɡaʁtn̩,7
128,128,129,Is that a squirrel (Sciurus niger or Sciurus carolinensis) on the pecan tree? ,ist das ein eichhoernchen auf dem pekannussbaum,ɪst das aɪ̯n ˈaɪ̯çˌhœʁnçən aʊ̯f deːm pəˈkanˈnʊsˌbɔɪ̯m,7
129,129,130,stinging nettles (low plant: Urtica) ,brennnesseln,ˈbʀɛnˌnɛsl̩n,1
130,130,131,"bull nettles (""horse nettles"", ""tread-softly"", ""mala mujer"": Solanum carolinense) ",pferdenesseln,pfeːɐ̯dənɛsl̩n,1
131,131,132,Get that skunk off my front porch!,schaff mir das stinktier aus meinem vorgarten,ʃaf miːɐ̯ das ˈʃtɪŋkˌtiːɐ̯ aʊ̯s ˈmaɪ̯nəm ˈfoːɐ̯ˌɡaʁtn̩,7
132,132,133,Get that skunk off my front porch!,schaff mir das stinktier aus meinem vorgarten,ʃaf miːɐ̯ das ˈʃtɪŋkˌtiːɐ̯ aʊ̯s ˈmaɪ̯nəm ˈfoːɐ̯ˌɡaʁtn̩,7
133,133,134,"The corn (maize, Zea mays) is good this year. ",der mais ist dieses jahr gut,deːɐ̯ ˈmaːis ɪst ˈdiːzəs jaːɐ̯ ɡuːt,6
134,134,135,the (kitchen) sink ,die spuele,diː ˈʃpyːlə,2
135,135,136,the creek ,der bach,deːɐ̯ bax,2
136,136,137,the creek,der bach,deːɐ̯ bax,2
137,137,138,the creek,der bach,deːɐ̯ bax,2
138,138,139,There are the children who I gave the candy to. ,da sind die kinder denen ich die suessigkeiten gegeben habe,daː zɪnt diː ˈkɪndɐ ˈdeːnən ɪç diː ˈzyːsɪçˌkaɪ̯tn̩ ɡəˈɡeːbn̩ ˈhaːbə,10
139,139,140,Is that a squirrel on the pecan tree? (Carya illinoensis),ist das ein eichhoernchen auf dem pekannussbaum,ɪst das aɪ̯n ˈaɪ̯çˌhœʁnçən aʊ̯f deːm pəˈkanˈnʊsˌbɔɪ̯m,7
140,140,141,sweet potatoes (lpomoea batatas) ,suesskartoffeln,zyːskaʁˈtɔfl̩n,1
141,141,142,a pool or pond dug out for watering livestock ,ein teich,aɪ̯n taɪ̯ç,2
142,142,143,It is too dry this year. ,es ist zu trocken dieses jahr,ɛs ɪst ʦuː ˈtʀɔkn̩ ˈdiːzəs jaːɐ̯,6
143,143,144,He's going to town now. ,er geht jetzt in die stadt,eːɐ̯ ɡeːt jɛʦt ɪn diː ʃtat,6
144,144,145,We went home. ,wir sind nach hause gegangen,viːɐ̯ zɪnt naːχ ˈhaʊ̯zə ɡəˈɡaŋən,5
145,145,146,It's quarter after five. ,es ist viertel nach fuenf,ɛs ɪst ˈfɪʁtl̩ naːχ fʏnf,5
146,146,147,A Gaul is a …? ,horse,None,1
147,147,148,Do people in the community say gelt or gell(e) for nicht wahr? ,None,None,1
148,148,1,Don't run through the kitchen door. ,renn nicht durch die kuechentuer,ʀɛn nɪçt dʊʁç diː ˈkʏçn̩ˌtyːɐ̯,5
149,149,2,Help me. ,hilf mir,hɪlf miːɐ̯,2
150,150,3,I saw the cockroach that was hiding under the woodpile ,ich habe die kakerlake gesehen die sich unter dem holzhaufen versteckt,ɪç ˈhaːbə diː kakɐˈlaːkə ɡəˈzeːən diː zɪç ˈʊntɐ deːm hɔlʦˈhaʊ̯fn̩ fɛɐ̯ˈʃtɛkt,11
151,151,4,"When my father was alive, he had four hundred pecan trees. ",als mein vater noch lebte hatte er vierhundert pekannussbaeume,als maɪ̯n ˈfaːtɐ nɔχ ˈleːptə ˈhatə eːɐ̯ ˈfiːɐ̯ˌhʊndɐt pəˈkanˈnʊsˌbɔɪ̯mə,9
152,152,5,The buzzard is eating the dead skunk ,der bussard isst das tote stinktier,deːɐ̯ ˈbʊsaʁt ɪst das ˈtoːtə ˈʃtɪŋkˌtiːɐ̯,6
153,153,6,We will buy a hundred pounds of feed for the calves at the feed store ,im futterladen werden wir hundert pfund futter fuer die kaelber kaufen,ɪm ˈfʊtɐˈlaːdn̩ ˈveːɐ̯dn̩ viːɐ̯ ˈhʊndɐt pfʊnt ˈfʊtɐ fyːɐ̯ diː ˈkɛlbɐ ˈkaʊ̯fn̩,11
154,154,7,There's a bunch of live oaks in the pasture ,da sind einige lebenseichen auf dem feld,daː zɪnt ˈaɪ̯nɪɡə ˈleːbn̩sˌʔaɪ̯çn̩ aʊ̯f deːm fɛlt,7
155,155,8,Do you see the lightening bugs that are out tonight ,hast du die gluehwuermchen gesehen die heute unterwegs sind,hast duː diː ˈɡlyːˌvʏʁmçən ɡəˈzeːən diː ˈhɔɪ̯tə ʊntɐˈveːks zɪnt,9
156,156,9,Will your wife come to live in your father's house after the marriage ,wird deine frau nach der hochzeit im haus deines vaters wohnen,vɪʁt ˈdaɪ̯nə fʀaʊ̯ naːχ deːɐ̯ ˈhɔχˌʦaɪ̯t ɪm ˈhaʊ̯s ˈdaɪ̯nəs ˈfaːtɐs ˈvoːnən,11
157,157,10,The people went by bus from Kerrville to Fredericksburg to pick peaches ,die leute sind mit dem bus von kerrville nach fredericksburg gefahren um pfirsiche zu ernten,diː ˈlɔɪ̯tə zɪnt mɪt deːm bus fɔn None naːχ None ɡəˈfaːʀən ʊm ˈpfɪʁzɪçə ʦuː ˈɛʁntən,15
158,158,11,My brother's friend is walking around the ranch to check up on the sheep ,der freund meines bruders ist auf dem hof unterwegs um nach den schafen zu sehen,deːɐ̯ fʀɔɪ̯nt ˈmaɪ̯nəs ˈbʀuːdɐs ɪst aʊ̯f deːm hoːf ʊntɐˈveːks ʊm naːχ deːn ˈʃaːfn̩ ʦuː ˈzeːən,15
159,159,12,The roof of our house caved in during the storm ,das dach unseres hauses ist waehrend des sturms eingebrochen,das dax ˈʊnzəʀəs ˈhaʊ̯zəs ɪst ˈvɛːʀənt dɛs ʃtʊʁms ˈaɪ̯nɡəˌbʀɔχn̩,9
160,160,13,Don't take candy from strangers! ,nimm keine suessigkeiten von fremden an,nɪm ˈkaɪ̯nə ˈzyːsɪçˌkaɪ̯tn̩ fɔn ˈfʀɛmdn̩ an,6
161,161,14,We will harvest the crops despite the weather ,wir werden trotz des wetters ernten,viːɐ̯ ˈveːɐ̯dn̩ tʀɔʦ dɛs ˈvɛtɐs ˈɛʁntən,6
162,162,15,"When I was young, everyone in town spoke German ",als ich jung war hat jeder in der stadt deutsch gesprochen,als ɪç jʊŋ vaːɐ̯ hat ˈjeːdɐ ɪn deːɐ̯ ʃtat dɔɪ̯ʧ ɡəˈʃpʀɔχn̩,11
163,163,16,He is cutting the hedge with Herbert's tools ,er schneidet die hecke mit herberts werkzeug,eːɐ̯ ˈʃnaɪ̯dət diː ˈhɛkə mɪt … ˈvɛʁkˌʦɔɪ̯k,7
164,164,17,Where were you hunting coons last night ,wo hast du letzte nacht waschbaeren gejagt,voː hast duː ˈlɛʦtə naχt ˈvaʃˌbɛːʀən ɡəˈjaːkt,7
165,165,18,He made jerky out of the deer that he shot ,er machte trockenfleisch aus dem wild das er geschossen hat,eːɐ̯ ˈmaχtə ˈtʀɔkn̩flaɪ̯ʃ aʊ̯s deːm vɪlt das eːɐ̯ ɡəˈʃɔsn̩ hat,10
166,166,19,Where were you going without the car ,wo bist du ohne das auto hingegangen,voː bɪst duː ˈoːnə das ˈaːuto ˈhɪnˌɡeɡaŋən,7
167,167,20,There are the children who I gave candy to ,da sind die kinder denen ich die suessigkeiten gegeben habe,daː zɪnt diː ˈkɪndɐ ˈdeːnən ɪç diː ˈzyːsɪçˌkaɪ̯tn̩ ɡəˈɡeːbn̩ ˈhaːbə,10
